Offence Subdivision,Offence Division
A20 Assault and related offences,A Crimes against the person
A50 Robbery,A Crimes against the person
"A70 Stalking, harassment and threatening behaviour",A Crimes against the person
A80 Dangerous and negligent acts endangering people,A Crimes against the person
Other crimes against the person,A Crimes against the person
B10 Arson,B Property and deception offences
B20 Property damage,B Property and deception offences
B30 Burglary/Break and enter,B Property and deception offences
B40 Theft,B Property and deception offences
B50 Deception,B Property and deception offences
B60 Bribery,B Property and deception offences
C10 Drug dealing and trafficking,C Drug offences
C20 Cultivate or manufacture drugs,C Drug offences
C30 Drug use and possession,C Drug offences
C90 Other drug offences,C Drug offences
D10 Weapons and explosives offences,D Public order and security offences
D20 Disorderly and offensive conduct,D Public order and security offences
D30 Public nuisance offences,D Public order and security offences
D40 Public security offences,D Public order and security offences
E10 Justice procedures,E Justice procedures offences
E20 Breaches of orders,E Justice procedures offences
F10 Regulatory driving offences,F Other offences
F20 Transport regulation offences,F Other offences
F30 Other government regulatory offences,F Other offences
F90 Miscellaneous offences,F Other offences
