postcode,suburb,lat,lon,Local Government Area,Region,Year,A20,A50,A70,A80,A90,B10,B20,B30,B40,B50,B60,C10,C20,C30,C90,D10,D20,D30,D40,E10,E20,F10,F20,F30,F90,Total,A,B,C,D,E,F
3000,melbourne,-37.814563,144.97026699999998,Melbourne,Northern Metropolitan,2011,1032,116,99,38,129,18,741,473,5300,794,5,82,5,316,1,232,3433,93,6,146,1064,0,13,36,3,14175,1414,7331,404,3764,1210,52
3002,east melbourne,-37.81664,144.98781100000002,Melbourne,Northern Metropolitan,2011,53,12,4,2,5,5,47,70,322,31,1,7,1,24,0,12,128,9,0,6,5,0,0,9,0,753,76,476,32,149,11,9
3003,west melbourne,-37.806255,144.941123,Melbourne,Northern Metropolitan,2011,54,9,3,8,6,2,69,78,231,23,0,2,2,28,0,20,81,6,0,3,3,0,2,1,2,633,80,403,32,107,6,5
3006,southbank,-37.823258,144.965926,Melbourne,Southern Metropolitan,2011,237,21,14,8,30,3,169,67,793,70,1,4,0,54,2,24,512,9,0,10,15,0,0,14,2,2059,310,1103,60,545,25,16
3008,docklands,-37.814719000000004,144.948039,Melbourne,Southern Metropolitan,2011,113,7,8,4,17,0,86,40,481,34,0,9,0,26,0,27,350,12,0,12,5,0,4,6,3,1244,149,641,35,389,17,13
3011,footscray,-37.79977,144.89958700000003,Maribyrnong,Western Metropolitan,2011,182,67,13,5,26,18,241,336,920,79,0,46,2,190,0,58,177,10,0,15,12,1,1,5,1,2405,293,1594,238,245,27,8
3011,seddon,-37.808769,144.895486,Maribyrnong,Western Metropolitan,2011,10,2,3,0,2,1,46,91,80,2,0,2,0,5,0,2,12,1,0,0,0,0,0,1,0,260,17,220,7,15,0,1
3012,brooklyn,-37.814624,144.84710800000002,Brimbank,Western Metropolitan,2011,2,0,0,0,0,1,3,6,32,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,46,2,42,0,2,0,0
3012,kingsville,-37.812635,144.881803,Brimbank,Western Metropolitan,2011,5,2,0,0,2,2,31,46,99,2,0,0,0,2,0,3,3,1,0,0,1,0,0,0,0,199,9,180,2,7,1,0
3012,maidstone,-37.782096,144.874299,Brimbank,Western Metropolitan,2011,25,2,4,2,9,5,54,119,246,5,0,9,4,17,0,7,14,0,1,3,4,0,0,0,0,530,42,429,30,22,7,0
